045.56429583	-71.90246111	 5.53	255945	 19400	THE  HYI
045.56988750	 +4.08970278	 2.53	110920	 18884	ALP  CET 	MENKAR
045.59794583	-23.62444167	 4.09	168249	 18978	TAU3 ERI
045.73282500	-46.97501389	 5.82	216150	 19141
045.90339167	-59.73777778	 5.11	232981	 19319	MU   HOR
046.19912917	+53.50646944	 2.93	 23789	 18925	GAM  PER
046.29413750	+38.84028056	 3.30	 56138	 19058	RHO  PER
046.53235000	+79.41851944	 5.49	  4810	 18438
046.82742500	-13.76181667	 7.00	148780	 19467
047.04221250	+40.95567500	 2.10	 38592	 19356	BET  PER 	ALGOL
047.26673333	+49.61330278	 4.05	 38597	 19373	IOT  PER
047.40307083	+29.07707778	 5.72	 75757	 19548	55   ARI
047.90731667	+19.72668333	 4.35	 93328	 19787	DEL  ARI
048.13812500	-57.32161944	 5.74	233037	 20234
048.19349583	 -1.19607778	 5.06	130355	 19994	94   CET
048.66705417	-35.55774444	 6.87	194176	 20301
048.72537917	+21.04446111	 4.89	 75810	 20150	ZET  ARI
048.95842917	 -8.81973056	 4.80	130387	 20320	ZET  ERI
048.99004167	-77.38846667	 5.52	255973	 21024	IOT  HYI
049.22948333	-31.35220000	 7.14	194206	 20504
049.84040000	 +3.37016389	 4.83	111120	 20630	KAP  CET
049.98195417	-43.06980278	 4.27	216263	 20794	         	82 G  ERIDANI
050.08225833	+77.73477222	 5.45	  4875	 19978
050.30675833	+21.14705278	 5.28	 75886	 20756	TAU  ARI
051.08068750	+49.86120556	 1.79	 38787	 20902	ALP  PER 	MIRFAK
051.16892500	+64.58601389	 5.23	 12743	 20797
051.20333333	 +9.02885278	 3.60	111172	 21120	OMI  TAU
051.79232500	 +9.73270278	 3.74	111195	 21364	XI   TAU
052.26721667	+59.94029722	 4.21	 24054	 21291
052.34449167	-62.93752500	 4.72	248819	 22001	KAP  RET
052.64369167	+47.99524722	 4.36	 38890	 21552	SIG  PER
052.65438333	 -5.07513889	 4.73	130528	 21790	17   ERI
052.71825833	+12.93667500	 4.11	 93469	 21754	5    TAU
053.08378333	+84.91105278	 5.61	   550	 20084
053.14504167	-50.37870278	 5.68	233152	 22231
053.16670833	+35.46171944	 5.90	 56531	 21856
053.23269167	 -9.45825556	 3.73	130564	 22049	EPS  ERI
053.44700417	-21.63288333	 4.27	168634	 22203	TAU5 ERI
054.07252083	-17.46706667	 5.23	149063	 22470	20   ERI
054.21823333	 +0.40163611	 4.28	111292	 22484	10   TAU
054.27366250	-40.27466667	 4.58	216405	 22663
054.69867917	-27.94306667	 6.01	168701	 22789	TAU  FOR
055.19293333	+25.32950833	 6.11	 76073	 22805	11   TAU
055.53880000	+63.21678889	 5.10	 12874	 22649
055.56213333	-31.93836667	 5.00	194467	 23227	DEL  FOR
055.73123750	+47.78758333	 3.01	 39053	 22928	DEL  PER
055.81209583	 -9.76340278	 3.54	130686	 23249	DEL  ERI
056.04992500	-64.80696389	 3.85	248877	 23817	BET  RET
056.12709583	 -1.16312222	 5.25	130698	 23363	24   ERI
056.21888333	+24.11333611	 3.70	 76131	 23302	17   TAU 	ELECTRA
056.29847083	+42.57852778	 3.77	 39078	 23230	NU   PER
056.41847500	 +6.04999444	 5.35	111400	 23466	29   TAU
056.71203750	-23.24971389	 4.23	168827	 23754	TAU6 ERI
056.80965833	-74.23896389	 3.24	256029	 24512	GAM  HYI
056.87113750	+24.10510556	 2.87	 76199	 23630	ETA  TAU 	ALCYONE
057.29057917	+24.05340000	 3.63	 76228	 23850	27   TAU 	ATLAS
057.36357083	-36.20021667	 4.17	194559	 24160
057.58958333	+71.33226667	 4.63	  5006	 23401	GAM  CAM
058.28485000	 -6.63373889	 6.57	130796	 24446
058.29183333	+17.32706944	 5.97	 93650	 24357
058.38893333	-46.89373333	 5.93	216540	 24706
058.43031667	+57.97512500	 5.80	 24276	 24141
058.53300833	+31.88361389	 2.85	 56799	 24398	ZET  PER 	ATIK
059.46344583	+40.01020000	 2.89	 56840	 24760	EPS  PER
059.50734583	-13.50853056	 2.95	149283	 25025	GAM  ERI 	ZAURAK
059.67878333	-57.10240556	 6.05	233347	 25346
059.68643333	-61.40023611	 4.56	248918	 25422	DEL  RET
059.74125000	+35.79099722	 4.04	 56856	 24912	XI   PER 	MENKIB
060.17007917	+12.49034444	 3.47	 93719	 25204	LAM  TAU
060.18194167	-71.16676944	 6.58	256053	 25938
060.38350000	 -1.54966944	 5.28	130878	 25340	35   ERI
060.78907083	 +5.98930000	 3.91	111579	 25490	NU   TAU
061.17379583	+22.08191389	 4.36	 76430	 25604	37   TAU
061.40602917	-27.65179722	 5.59	169110	 25945
061.64597917	+50.35127222	 4.29	 24412	 25642	LAM  PER
062.16535417	+47.71252500	 4.04	 39336	 25940	48   PER
062.29150833	+19.60920278	 5.50	 93785	 26162	43   TAU
062.70773333	+26.48093333	 5.41	 76485	 26322	44   TAU
062.96640000	 -6.83758333	 4.04	131019	 26574	OMI1 ERI 	BEID
063.50052500	-42.29444444	 3.86	216710	 26967	ALP  HOR
063.60620000	-62.47384722	 3.35	248969	 27256	ALP  RET
063.72439167	+48.40933333	 4.14	 39404	 26630	MU   PER
063.88358333	 +8.89233889	 4.29	111696	 26912	MU   TAU
064.00667083	-51.48664722	 4.25	233457	 27290	GAM  DOR
064.49645417	-80.21402500	 5.69	258372	 28525	DEL  MEN
064.94834583	+15.62761389	 3.65	 93868	 27371	GAM  TAU
065.03780833	-16.43731667	 6.80	149554	 27528
065.10266667	+34.56674167	 4.93	 57171	 27348	54   PER
065.16254583	-20.63964722	 5.38	169354	 27616
065.47224167	-63.38638889	 5.24	249009	 28093	ETA  RET
065.71204583	-82.89909444	 6.76	258379	 29598
065.73370833	+17.54249444	 3.76	 93897	 27697	DEL1 TAU
